序號,日期,公司,注音,紀念品,徵求人(格式一)
06391,2017/06/28,炎洲,ㄧ,全家50元,福邦證
06392,2017/06/28,愛之味,ㄞ,鮪魚3罐,群益金鼎
06393,2017/06/28,欣銓,ㄒ,全家88元,永豐金
06394,2017/06/28,萬洲,ㄨ,全家50元,台新銀
06395,2017/06/28,台紙,ㄊ,護唇膏,元大證
06396,2017/06/28,威致,ㄨ,沐浴用品,永豐金
06397,2017/06/28,力特,ㄌ,香皂1塊,趙寄蓉
06398,2017/06/28,廣豐,ㄍ,毛巾,個人
06399,2017/06/28,中電,ㄓ,全家50元,群益金鼎
06400,2017/06/28,華宇光能,ㄏ,全家50元,台新銀
06401,2017/06/28,佳和,ㄐ,纖維擦拭布,元富證
06402,2017/06/28,大田3,ㄉ,無,林麗英
06403,2017/06/28,金橋3,ㄐ,無,福邦證
06404,2017/06/28,聯昌,ㄌ,全家50元,永豐金
06405,2017/06/28,力銘,ㄌ,7-11 50元,個人
06406,2017/06/28,華電網,ㄏ,招財貓(碗),亞東證
06407,2017/06/28,松普,ㄙ,洗衣粉,福邦證
06408,2017/06/28,聯光通,ㄌ,50元禮券,個人
06409,2017/06/28,聚碩,ㄐ,LED露營燈,永豐金
06410,2017/06/28,驊宏資,ㄏ,觸控筆,群益金鼎
06411,2017/06/28,旭品,ㄒ,7-11 50元,華南永昌
06412,2017/06/28,遠昇,ㄩ,全家50元,王阿和
06413,2017/06/28,千如,ㄑ,7-11 50元,永豐金
06414,2017/06/28,捷邦,ㄐ,全家35元,中信託
06415,2017/06/28,奧斯特,ㄠ,全家35元,亞東證
06416,2017/06/28,寶聯,ㄅ,喉糖一盒,日盛證
06417,2017/06/28,佰研,ㄅ,池上米,台新銀
06418,2017/06/29,國光生,ㄍ,料理剪刀,元大證
06419,2017/06/30,台原藥,ㄊ,魚油,福邦證
06420,2017/06/30,駿熠電子,ㄐ,全家50元,康和證
